review,date,title,userName,rating,isEdited,app_name,app_id
"I’m mostly doing a review to ask more different levels of the paid version. I don’t want/need every thing in the fancy version, there are just some sound options I wish I could have. I’d be willing to pay (reasonably) a 1 time fee to get the extra sounds. But right now the only option is a 1 yr subscription that includes a bunch of things I don’t need. Others may, and may they enjoy the option. However, it wouldn’t surprise me if there weren’t others who would be willing to pay a smaller 1x fee for a partial upgrade rather than the $60 for everything that only covers 1 yr. Also, would love more low pitched sound options. I rather like the brain scan sound that’s on 1 of your other apps.  Positives: really like the flexibility in this app, particularly the timer. Works great as a. Reverse alarm clock.",2021-03-06 06:04:42,Really useful but....,zatitag,3,False,relax-meditation-guided-mind,367506176
"Been using this app for a long time, I like the music and there's very good recordings of nature sounds which helps me fall asleep. I just wish the music didn't loop so soon, would have liked the songs to be at least 5-10 minutes long. Also, I would have liked to see more frequent updates with new music and sounds but it seems like they discontinued support for it.",2021-03-07 07:47:13,Great app!,Jeff Pham,5,False,relax-meditation-guided-mind,367506176
I love that I can customize my meditation modes. Thought I had purchased the lifetime years back but can’t restore my purchase. It’s worth it though being able to customize each mediation to the sounds needed to sleep better or put you into a receiving mode focus.,2021-01-20 03:46:06,Great meditation mode,swtdrgrl,5,False,relax-meditation-guided-mind,367506176
"I have loved this app for several years, having used it strictly for the white noise function. Now I can’t access some of the sounds, such as brown noise and pink noise. App says it’s trying to download them. Never does. 

I’m pretty confident the developers can help, so I’m putting this out there. Thanks for your time!

Steve",2021-06-05 11:09:38,Won’t accept my “restore subscription” anymore . help?!,orchman,4,False,relax-meditation-guided-mind,367506176
I love this app so much. I upgraded to premium months ago and the isochronic tones help me sleep so much but I keep getting a message that says “some of the sounds are not downloaded. Download them now?” So I click yes. But they won’t download I keep getting the same message. PLEASE FIX THIS😭🥺,2021-05-28 05:21:23,Isochronic Tones won’t Download🥺😭,Madiremy,5,False,relax-meditation-guided-mind,367506176
"It helps me sleep and makes beautiful sounds. One problem I’d that for some cool sounds and mixes, you must get a subscription which means paying. But other than that, there are many things to use for free!",2021-01-12 04:23:43,AWESOME!,Awesome /Me,5,False,relax-meditation-guided-mind,367506176
I’ve been using this for years. I have recommended this to many patients. And And have use this when attempting distraction and relaxation techniques with critical care patients,2021-04-01 05:51:25,Best sleep aide,S.C. girl,5,False,relax-meditation-guided-mind,367506176
I use this app all the time. It helps mask sounds wonderfully.  But also provides soothing background noise to help me sleep. I just love it!,2021-04-16 18:44:11,Love this app!,Waterkeepers,5,False,relax-meditation-guided-mind,367506176
.,2021-04-29 18:30:30,"I have purchased, but after update it turn me off the advanced user.  Why？",Please be useful,5,False,relax-meditation-guided-mind,367506176
I love this app. I get to custom make my meditations. It is definitely iteky worth giving it a try.,2021-01-27 13:18:57,Just what I was looking for,K8g8s,5,False,relax-meditation-guided-mind,367506176
"This app is pretty decent. But, the whole “pro” thing is stupid. Half of the good sounds you can’t even unlock, and the ones you can unlock aren’t good sleep noises. This whole thing is just to get your money. Don’t buy it, you’ll regret it.",2021-02-02 00:47:55,"Cool, but...",ABWeekes,2,False,relax-meditation-guided-mind,367506176
I use it with my clients and while at home. Very soothing.,2021-01-14 05:50:41,Great for work and personal use,Lboogie399,5,False,relax-meditation-guided-mind,367506176
"Had this app for years, never failed, never crashed. Great tool to relax!",2021-01-18 03:27:21,5 stars!,Candlemaker2012,5,False,relax-meditation-guided-mind,367506176
I love this free app. Helps us sleep when our thinking keeps us awake.,2021-03-31 07:19:13,Self Care,Readingstory,5,False,relax-meditation-guided-mind,367506176
Already Great and keeps getting better,2021-02-22 00:12:24,Serenity Now!!!,ruralninja,5,False,relax-meditation-guided-mind,367506176
Great app. I highly recommend it!!,2021-04-16 16:44:21,Wonderful app. I highly recommend it!!,Manuel dlp,5,False,relax-meditation-guided-mind,367506176
I love this app been using it since I was like 13 highly recommended,2021-03-25 05:46:56,LOVE,karaidavrg,5,False,relax-meditation-guided-mind,367506176
Lots of free options for combining relaxing sounds. I love it.,2021-03-20 01:15:57,So many sounds,BethanyJB,5,False,relax-meditation-guided-mind,367506176
This helps me get good sleep while I am on the road for my job.,2021-03-08 06:02:04,Blessed sleep,lord sapper,5,False,relax-meditation-guided-mind,367506176
The sound just puts you on another plane of reality,2021-04-09 00:06:21,Best relax sounds ever,Hot thunder879$,5,False,relax-meditation-guided-mind,367506176
Bait and switch. I bought this a few years ago as a lifetime member. Now many of the features I liked are now available as an upgrade. No customer loyalty. Buyer beware,2021-06-28 02:04:36,Relax and meditate,kevcart,2,False,relax-meditation-guided-mind,367506176
This app has helped me with my sleep and calms my mind.,2021-06-02 11:42:00,Total Relaxation,Nycpr,5,False,relax-meditation-guided-mind,367506176
You’re doing great! Keep going! Thank you for the gifts.,2021-05-23 23:38:37,Cookie Monster’s Best Friend,Cookie Monster's Best Friend,5,False,relax-meditation-guided-mind,367506176
Puts my mind away from everything else great senses,2021-05-20 01:23:03,Meditation,Poled9,4,False,relax-meditation-guided-mind,367506176
Cool app with allot of features with different sounds to help you mediate,2021-03-22 04:59:39,Great app,jdsII,5,False,relax-meditation-guided-mind,367506176
I love your stuff and I Even take the classes on there to and i love yall,2021-03-15 01:28:03,Love,in a Lincoln,5,False,relax-meditation-guided-mind,367506176
So amazing keep up the amazing work!,2021-05-27 03:47:43,Flawless and amazing,'dkdiiejixkmsjdi,5,False,relax-meditation-guided-mind,367506176
"So I purchased the pro some time ago and it’s telling me to purchase it again!! It also locked the stuff I had saved, beyond mad!!!",2021-05-08 03:15:49,Completely unhappy,Dawn1632,1,False,relax-meditation-guided-mind,367506176
Nothing to complain about. It rocks!,2021-02-10 18:03:12,Awesome,Shane Lauer,5,False,relax-meditation-guided-mind,367506176
The ability to choice what works best for YOU to relax!,2021-04-25 01:57:10,LOVE THIS APP,CharleneATharp,5,False,relax-meditation-guided-mind,367506176
This app completely drains my battery on my iPad 4 when used overnight. Never had this issue on other devices.,2021-02-27 14:24:58,Battery Drain,Tfeldy,1,False,relax-meditation-guided-mind,367506176
Must get!,2021-02-26 20:51:48,Amazing,coollapppp,5,False,relax-meditation-guided-mind,367506176
Good,2021-01-28 08:26:03,Chamane,chsmane,5,False,relax-meditation-guided-mind,367506176
"Me encanta, todas las noches la utilizo y me permite dormir tranquilamente.",2021-02-18 04:23:31,Maravillosa!,Deysy B.,5,False,relax-meditation-guided-mind,367506176
